"KeyName","KeyValue","Explanation","PossibleValues"
"AAA","BBB","CCC","DDD"
"ACL_max_count","200","fakeValue","fakeValue"
"Ad_isDomain","0","fakeValue","fakeValue"
"Ad_Name","WORKGROUP","fakeValue","fakeValue"
"Ad_DNS","62.179.1.62","fakeValue","fakeValue"
"Ad_DC_IP","","fakeValue","fakeValue"
"Ad_NetBIOS","WORKGROUP","fakeValue","fakeValue"
"Ad_FQDN","*","fakeValue","fakeValue"
"Ad_isSyncNTP","0","fakeValue","fakeValue"
"Ad_user","","fakeValue","fakeValue"
"Ad_passwd","","fakeValue","fakeValue"
"Ad_Nested_Groups","1","fakeValue","fakeValue"
"Ad_Schedule","","fakeValue","fakeValue"
"Ad_Manage_Mode","0","fakeValue","fakeValue"
"Ad_Domain_Admin_Users","","fakeValue","fakeValue"
"Ad_Domain_Admin_Groups","","fakeValue","fakeValue"
"Ad_winbind_directly_connect_trust","0","fakeValue","fakeValue"
"Ad_client_ldap_sasl_wrapping","","fakeValue","fakeValue"
"Ad_ldap_ssl","","fakeValue","fakeValue"
"Ad_ldap_ssl_ads","0","fakeValue","fakeValue"
"LDAP_isEnableLDAP","0","fakeValue","fakeValue"
"LDAP_isEnableCIFSsp","0","fakeValue","fakeValue"
"LDAP_isEnableCIFS_PAP","0","fakeValue","fakeValue"
"LDAP_szServerAddr","","fakeValue","fakeValue"
"LDAP_szEncrypt","no","fakeValue","fakeValue"
"LDAP_szNestedGroup","no","fakeValue","fakeValue"
"LDAP_szBaseDN","","fakeValue","fakeValue"
"LDAP_szBindDN","","fakeValue","fakeValue"
"LDAP_szPasswd","","fakeValue","fakeValue"
"LDAP_szProfile","","fakeValue","fakeValue"
"LDAP_szUidmapMin","0","fakeValue","fakeValue"
"LDAP_szUidmapMax","0","fakeValue","fakeValue"
"LDAP_szGidmapMin","0","fakeValue","fakeValue"
"LDAP_szGidmapMax","0","fakeValue","fakeValue"
"LDAP_szNestedGroupLevel","0","fakeValue","fakeValue"
"Homeservice_isEnableHomeService","1","fakeValue","fakeValue"
"Homeservice_volumeID","1","fakeValue","fakeValue"
"Homeservice_isIncludeLDAPUser","0","fakeValue","fakeValue"
"Homeservice_isIncludeDomainUser","0","fakeValue","fakeValue"
"Homeservice_isEnableRecycleBin","1","fakeValue","fakeValue"
"Homeservice_volumePath","/volume1/homes","fakeValue","fakeValue"
"Passwdstrength_isApplyPasswdRule","1","fakeValue","fakeValue"
"Passwdstrength_isExcludeUsername","1","fakeValue","fakeValue"
"Passwdstrength_isMixedCase","0","fakeValue","fakeValue"
"Passwdstrength_isIncludeNumericChar","0","fakeValue","fakeValue"
"Passwdstrength_isIncludeSpecialChar","0","fakeValue","fakeValue"
"Passwdstrength_isEnableMinLength","1","fakeValue","fakeValue"
"Passwdstrength_minLength","6","fakeValue","fakeValue"
"Passwdstrength_isForgetPassword","0","fakeValue","fakeValue"
"Passwdstrength_isMustChange","0","fakeValue","fakeValue"
"Passwdstrength_isExcloudCommon","0","fakeValue","fakeValue"
"Passwdstrength_isExcloudHistory","0","fakeValue","fakeValue"
"Passwdstrength_excloudHistoryNum","1","fakeValue","fakeValue"
"Passwdexpiry_isEnableMaxAge","0","fakeValue","fakeValue"
"Passwdexpiry_maxAgeDay","-1","fakeValue","fakeValue"
"Passwdexpiry_isEnableMinAge","0","fakeValue","fakeValue"
"Passwdexpiry_minAgeDay","-1","fakeValue","fakeValue"
"Passwdexpiry_isEnableLoginPrompt","0","fakeValue","fakeValue"
"Passwdexpiry_loginPromptDay","-1","fakeValue","fakeValue"
"Passwdexpiry_isEnableReset","0","fakeValue","fakeValue"
"Passwdexpiry_isEnableNotify","0","fakeValue","fakeValue"
"Passwdexpiry_mailTaskId","-1","fakeValue","fakeValue"
"Passwdexpiry_mailNotifyHour","-1","fakeValue","fakeValue"
"Passwdexpiry_mailNotifyMinute","-1","fakeValue","fakeValue"
"Passwdexpiry_mailCheckPoint","","fakeValue","fakeValue"
"CIFS_Enable_Win_File_Service","1","fakeValue","fakeValue"
"CIFS_WinsServer","","fakeValue","fakeValue"
"CIFS_Optimize_DB","0","fakeValue","fakeValue"
"CIFS_Enable_Local_Master_Browser","0","fakeValue","fakeValue"
"CIFS_Enable_Transfer_Log","1","fakeValue","fakeValue"
"CIFS_Symlinks","0","fakeValue","fakeValue"
"CIFS_Widelinks","0","fakeValue","fakeValue"
"CIFS_Msdfs","0","fakeValue","fakeValue"
